"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PGBD4",-10.0251847703032,-9.49300976927225,-11.5656520340393,-2.0347571339724,1.19388886161577,-1.55569231278619,0.0490666809843066,1.79925006961174e-11,5.61849752964467e-11,2.00909150699263e-11,5.06489114132382e-11
"PGBD5",-7.7099132402038,-7.73219848124292,-7.39876488217115,0.306083517154658,1.85330886808274,0.133497446786757,0.433217808987098,0.980661880128184,0.999756768419755,0.394847048938567,1
"PGC",-14.9584423711871,-13.4897587225848,-16.5702532138108,-3.22980322719783,2.84486036253483,-0.999064802101497,0.103200006351737,3.92704181750586e-05,5.51554398796541e-05,3.87152089591666e-08,6.42081680626964e-08
"PGD",-4.39305145241558,-3.69432039066579,-6.0721984939429,-2.38962269683913,0.796841125557006,-2.97037812905842,0.0218608702193286,8.58015044428626e-17,2.569382923113e-15,4.03169904032933e-14,2.38196666661266e-13
"PGF",-7.33802641240551,-7.98158441102825,-5.76965457107651,2.1746727640054,1.73955309883907,1.1352739990534,0.109066672626877,5.95422011269164e-08,2.20653962362241e-05,1.05648422099591e-08,4.64596681070955e-06
"PGGT1B",-6.71065513963631,-6.15709620024929,-7.7785663868655,-1.71027010560409,1.0502215803264,-1.51664615821132,0.0282591563349278,8.43346388661045e-12,2.98651988938385e-11,2.18362993030477e-13,9.58621881500935e-13
"PGK1",-2.12051225718653,-1.98574886574822,-2.52454010954078,-0.530585269244882,0.795736306507089,-0.652977836430412,0.177819251463488,5.60155207273829e-05,7.92557805753916e-05,1.01654037064184e-05,1.48943926133085e-05
"PGK2",-8.99366851242562,-8.85030930494278,-9.61446295035506,-0.789844956855219,1.23692285438606,-0.581381547653213,0.203945617202894,0.000106827508408938,0.000148532494259346,6.49979104816489e-05,9.01034110703773e-05
"PGLS",-5.77604361877994,-5.53007101678322,-6.521785344729,-0.914048672365196,0.704380232676134,-1.11449712436467,0.154400003921549,1.98824496881452e-07,3.33339861512584e-07,1.60150493304206e-06,2.46318691004195e-06
"PGLYRP1",-14.7621302889369,-14.2996688594223,-15.1987050958814,-0.792470658560992,2.63635764474879,-0.246953586478763,0.376000000782971,0.198707280368134,0.225559813101435,0.114755250227203,0.131956732448915
"PGLYRP2",-15.064154974324,-15.4103893043152,-14.3746239166212,0.964372048289591,3.62650876438737,0.236773369452381,0.379466667425008,0.127453631322468,0.97502439750381,0.154203176646493,0.989769785541753
"PGM1",-4.29256923025695,-3.84315148246478,-4.99518220134877,-1.07955290336918,0.845942936100786,-1.20019809578644,0.0695814547922848,1.14032258249664e-08,2.15751347081734e-08,2.1441751693082e-10,4.72398307038881e-10
"PGM2",-6.0259196652429,-5.48144139674847,-7.11213246196356,-1.663113299403,1.30021717939758,-1.20717023534168,0.0711810279988949,4.03942890279747e-09,8.10006760419642e-09,2.47936947038692e-10,5.41062910096704e-10
"PGM2L1",-6.98813776308418,-6.80570309723481,-7.61629045198857,-0.715629187149004,1.64707086983736,-0.39050725621981,0.352705946036602,0.0134749494234305,0.0166414767768645,0.0492682167151273,0.058359052874284
"PGM3",-5.98274742431183,-5.59218025520837,-6.74024302755999,-1.07733872582265,1.06107938314902,-0.96393964803755,0.137030129844811,4.29557220051327e-07,7.01680356884784e-07,3.24062584381216e-07,5.22668872627896e-07
