"","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
"TRAF3IP1",-1.72346097279096,-1.72346097279096,0.776539027209044,1,1,0.999898697436469,1,1,1
"TRAF3IP2",-0.572867503088589,-0.572867503088589,1.92713249691141,1,1,0.998586357388318,1,1,1
"TRAF3IP2-AS1",-1.61288897394501,-1.61288897394501,0.887111026054994,1,1,0.999891782067666,1,1,1
"TRAF3IP3",-0.313483356842747,-0.313483356842747,2.18651664315725,1,1,0.831576733735758,1,1,1
"TRAF4",-2.05915984025102,-2.05915984025102,0.440840159748979,1,1,0.9973109944619,1,1,1
"TRAF5",-0.824460609507783,-0.824460609507783,1.67553939049222,1,1,0.99985065384695,1,1,1
"TRAF6",-1.63962391515576,-1.63962391515576,0.860376084844241,1,1,0.999946938949913,1,1,1
"TRAF7",-1.61305533400856,-1.61305533400856,0.886944665991445,1,1,0.999999794973132,1,1,1
"TRAFD1",-1.25421705190466,-1.25421705190466,1.24578294809534,1,1,0.99999999977098,1,1,1
"TRAIP",-1.11525014683113,-1.11525014683113,1.38474985316887,1,1,0.999999638396107,1,1,1
"TRAK1",-2.20676132341606,-2.20676132341606,0.293238676583937,1,1,0.928131376306471,1,1,1
"TRAK2",-2.1480131479917,-2.1480131479917,0.351986852008296,1,1,0.941668587184781,1,1,1
"TRAM1",-1.37867598413549,-1.37867598413549,1.12132401586451,1,1,0.999999789083821,1,1,1
"TRAM1L1",-2.98484121066225,-2.98484121066225,-0.48484121066225,0.0742103025673797,0.0542353753220192,0.0371051512836901,0.84831400880043,0.65838199348753,0.427685034173971
"TRAM2",-1.64706395360678,-1.64706395360678,0.852936046393223,1,1,0.999832828443929,1,1,1
"TRANK1",-0.730352783679201,-0.730352783679201,1.7696472163208,1,1,0.997017645303202,1,1,1
"TRAP1",-1.45134520009954,-1.45134520009954,1.04865479990046,1,1,0.999999919156913,1,1,1
"TRAPPC1",-1.2758448996867,-1.2758448996867,1.2241551003133,1,1,0.999999999999919,1,1,1
"TRAPPC10",-2.22374541787204,-2.22374541787204,0.276254582127959,1,1,0.923998801420383,1,1,1
"TRAPPC11",-1.85250170392064,-1.85250170392064,0.647498296079358,1,1,0.998629866071351,1,1,1
"TRAPPC12",-1.39145089295548,-1.39145089295548,1.10854910704452,1,1,0.999999999978719,1,1,1
"TRAPPC2",-1.30743666777695,-1.30743666777695,1.19256333222305,1,1,0.999999992322705,1,1,1
"TRAPPC2L",-0.973518186942168,-0.973518186942168,1.52648181305783,1,1,0.999999996480463,1,1,1
"TRAPPC2P1",-1.39795993905584,-1.39795993905584,1.10204006094416,1,1,0.999999996349141,1,1,1
"TRAPPC3",-1.56052491745187,-1.56052491745187,0.939475082548127,1,1,0.999999998396259,1,1,1
"TRAPPC4",-1.68988578892931,-1.68988578892931,0.810114211070687,1,1,0.999998732076321,1,1,1
"TRAPPC5",-1.01261374942543,-1.01261374942543,1.48738625057457,1,1,0.999999621030678,1,1,1
"TRAPPC6A",-2.10399917916602,-2.10399917916602,0.396000820833982,1,1,0.986802146709014,1,1,1
"TRAPPC6B",-1.97417519308467,-1.97417519308467,0.525824806915335,1,1,0.992704497822955,1,1,1
"TRAPPC8",-2.23179863941165,-2.23179863941165,0.268201360588351,1,1,0.885031550594902,1,1,1
