"","j","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
" g__Oribacterium",-0.49,0.983836169781517,-1.39385883803546,0.0649756636512273,0.980068671531734,0.999955558077681,0.559585144508131,1,1,0.90292847679583
" g__Kingella",-0.49,1.07689517161847,-1.30079983619851,0.158034665488182,0.906378666500956,0.869588225348693,0.681467553468501,0.999498992165753,1,0.921341910142869
" g__Catonella",-0.49,0.525339726226671,-1.85235528159031,-0.39352077990362,0.6221061547005,0.695442131645652,0.346005983264168,0.971542276833098,0.993251008221066,0.699501263733056
" g__Selenomonas",-0.49,3.66060412082431,1.28290911300733,2.74174361469402,0.121816810150541,0.258190832756996,0.0621576839936617,0.999650946965199,1,0.981025585511522
" g__Dialister",-0.49,0.769242234244018,-1.60845277357296,-0.149618271886272,0.837426826906918,0.990070450569848,0.584592396766475,0.997589500994303,1,0.876562127913998
" g__Moryella",-0.49,1.47990363284917,-0.897791374967813,0.561043126718876,0.987353566273938,1,0.806119215081448,0.999999753275686,1,0.972627137198424
" g__Parvimonas",-0.49,-0.138143755030685,-2.51583876284766,-1.05700426116097,0.442069939771193,0.545463621929173,0.264296372955318,0.899415928811372,0.970469579043792,0.604482427024251
" g__Tannerella",-0.49,1.19365319076683,-1.18404181705014,0.274792684636544,0.937412799923357,0.940452415238501,0.682913993895553,0.999433776645498,0.999700445156805,0.92194790524103
" g__Mogibacterium",-0.49,-0.0177901848754418,-2.39548519269242,-0.936650691005732,0.462087407300447,0.422059395749044,0.276161866056374,0.893837270391248,0.895689618645537,0.607648958685247
" g__Bulleidia",-0.49,0.568256636547495,-1.80943837126948,-0.350603869582796,0.696272809976124,0.850521498264151,0.423815177745106,0.983189845569736,0.999198623029892,0.761755610492968
" g__Atopobium",-0.49,1.54025538648244,-0.837439621334539,0.62139488035215,0.989913713326092,0.999985179110568,0.822695119430333,1,1,0.977847857583079
" g__Peptostreptococcus",-0.49,1.51291672375896,-0.864778284058016,0.594056217628673,0.984173582788445,0.999955558077681,0.810593818639105,1,1,0.973067647585905
" g__Corynebacterium",-0.49,0.567280487980684,-1.8104145198363,-0.351580018149606,0.631499204937606,0.645402421439834,0.326588432681415,0.995146347446535,0.997994585140438,0.707903652309386
" g__Mycoplasma",-0.49,1.17493892189191,-1.20275608592507,0.256078415761621,0.881240326390314,0.900138192340629,0.672435059756189,0.993528114719478,0.995153284039585,0.903216562650929
" g__Treponema",-0.49,1.69948835005297,-0.678206657764013,0.780627843922676,0.974892695774127,0.991473296086069,0.812186899388969,1,1,0.975574110886807
" g__Cardiobacterium",-0.49,2.48004501332484,0.102350005507866,1.56118450719455,0.835842292287377,0.999600536420761,0.572791841774673,1,1,0.98657976169871
" g__Shuttleworthia",-0.49,0.631721014175547,-1.74597399364143,-0.287139491954743,0.740641597591808,0.766509444848134,0.531139223381013,0.971210828750694,0.98710137913265,0.811733099810808
" g__Schwartzia",-0.49,3.81010906595064,1.43241405813366,2.89124855982035,0.308356599781244,0.252186322704688,0.181416512093937,0.982196055741985,0.98442688295321,0.940672832693836
" g__TG5",-0.49,1.63770166609249,-0.739993341724489,0.7188411599622,0.949392021130964,0.96914150948428,0.792599723904491,0.998857730879081,0.99963393245014,0.954093466195336
" g__Lachnoanaerobaculum",-0.49,1.40643557979818,-0.971259428018798,0.487575073667891,0.964202913471417,0.998715173110206,0.767772164957953,0.999588419565629,1,0.955607529982958
"other",-0.49,0.0817710735222474,-2.29592393429473,-0.837089432608043,0.0171118259408985,0.0191313160856903,0.0085559679139874,0.131066345862233,0.130828541224102,0.0656673467723521
" g__Streptococcus",-0.48,-0.699143576578691,-3.06683858439567,-1.60800408270898,2.85544350093965e-05,7.97993592837058e-05,1.42773146430632e-05,0.000542534265178533,0.00151618782639041,0.000271268978218201
" g__Haemophilus",-0.48,-0.582795129764255,-2.95049013758123,-1.49165563589455,2.26173431079648e-07,3.76834785776325e-07,1.13086742547879e-07,8.59459038102663e-06,1.43197218595004e-05,4.2972962168194e-06
" g__Neisseria",-0.48,-0.571438472829684,-2.93913348064666,-1.48029897895997,0.290551639825171,0.116306579311296,0.167527683098053,0.886913134137051,0.485096896477558,0.514459185372472
