"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"213","#9E9E9E","dotted",135.063291139241,0.387271490005021,0.357827992236759,0.416714987773284,0.00896873330130452,FALSE,"1",3,"grey60",1.5,1,0
"214","#9E9E9E","dotted",137.46835443038,0.388552625044078,0.359822487504404,0.417282762583753,0.00875143786689932,FALSE,"1",3,"grey60",1.5,1,0
"215","#9E9E9E","dotted",139.873417721519,0.389780982589801,0.361696977852132,0.41786498732747,0.00855462046347735,FALSE,"1",3,"grey60",1.5,1,0
"216","#9E9E9E","dotted",142.278481012658,0.390963061602478,0.363404844105096,0.41852127909986,0.00839446131497944,FALSE,"1",3,"grey60",1.5,1,0
"217","#9E9E9E","dotted",144.683544303797,0.392105361042398,0.364923444560791,0.419287277524006,0.00827983690866566,FALSE,"1",3,"grey60",1.5,1,0
"218","#9E9E9E","dotted",147.088607594937,0.393214379869852,0.366257957067093,0.420170802672611,0.00821114966631966,FALSE,"1",3,"grey60",1.5,1,0
"219","#9E9E9E","dotted",149.493670886076,0.394296617045127,0.36744111147413,0.421152122616125,0.00818040944162563,FALSE,"1",3,"grey60",1.5,1,0
"220","#9E9E9E","dotted",151.898734177215,0.395358571528514,0.368528388104237,0.422188754952792,0.00817269610599074,FALSE,"1",3,"grey60",1.5,1,0
"221","#9E9E9E","dotted",154.303797468354,0.396406742280302,0.369589611626646,0.423223872933957,0.00816872012394292,FALSE,"1",3,"grey60",1.5,1,0
"222","#9E9E9E","dotted",156.708860759494,0.397447628260779,0.370698446625158,0.4241968098964,0.00814802229022646,FALSE,"1",3,"grey60",1.5,1,0
"223","#9E9E9E","dotted",159.113924050633,0.398487728430235,0.371920739277534,0.425054717582937,0.00809252495082516,FALSE,"1",3,"grey60",1.5,1,0
"224","#9E9E9E","dotted",161.518987341772,0.399524104700498,0.373263725332692,0.425784484068305,0.00799912907069114,FALSE,"1",3,"grey60",1.5,1,0
"225","#9E9E9E","dotted",163.924050632911,0.400525904538889,0.374595976729257,0.42645583234852,0.00789847078893392,FALSE,"1",3,"grey60",1.5,1,0
"226","#9E9E9E","dotted",166.329113924051,0.401490504286089,0.375888581266029,0.427092427306148,0.00779855781316006,FALSE,"1",3,"grey60",1.5,1,0
"227","#9E9E9E","dotted",168.73417721519,0.402418354675586,0.377121442556947,0.427715266794225,0.00770564896617575,FALSE,"1",3,"grey60",1.5,1,0
"228","#9E9E9E","dotted",171.139240506329,0.403309906440867,0.378270858151527,0.428348954730207,0.00762710150787994,FALSE,"1",3,"grey60",1.5,1,0
"229","#9E9E9E","dotted",173.544303797468,0.404165610315418,0.379309513012213,0.429021707618624,0.00757137312211669,FALSE,"1",3,"grey60",1.5,1,0
"230","#9E9E9E","dotted",175.949367088608,0.404985917032728,0.380206829028753,0.429765005036702,0.0075479154517013,FALSE,"1",3,"grey60",1.5,1,0
"231","#9E9E9E","dotted",178.354430379747,0.405771277326281,0.380929806005399,0.430612748647164,0.00756691792675372,FALSE,"1",3,"grey60",1.5,1,0
"232","#9E9E9E","dotted",180.759493670886,0.406522141929567,0.381444427569457,0.431599856289676,0.0076388795133083,FALSE,"1",3,"grey60",1.5,1,0
"233","#9E9E9E","dotted",183.164556962025,0.40723896157607,0.381717568091934,0.432760355060207,0.00777402784949005,FALSE,"1",3,"grey60",1.5,1,0
"234","#9E9E9E","dotted",185.569620253165,0.407922186999279,0.381719146690814,0.434125227307744,0.00798166311827516,FALSE,"1",3,"grey60",1.5,1,0
"235","#9E9E9E","dotted",187.974683544304,0.40857226893268,0.381424110658776,0.435720427206584,0.00826955387897924,FALSE,"1",3,"grey60",1.5,1,0
"236","#9E9E9E","dotted",190.379746835443,0.40918965810976,0.380813798461586,0.437565517757935,0.00864352188665742,FALSE,"1",3,"grey60",1.5,1,0
"237","#9E9E9E","dotted",192.784810126582,0.409774805264006,0.379876385333408,0.439673225194605,0.00910730636008157,FALSE,"1",3,"grey60",1.5,1,0
"238","#9E9E9E","dotted",195.189873417722,0.410328161128905,0.378606393039302,0.442049929218508,0.00966271331214433,FALSE,"1",3,"grey60",1.5,1,0
"239","#9E9E9E","dotted",197.594936708861,0.410850176437944,0.37700350773794,0.444696845137948,0.0103099756386677,FALSE,"1",3,"grey60",1.5,1,0
"240","#9E9E9E","dotted",200,0.41134130192461,0.375071076658796,0.447611527190424,0.0110482110429817,FALSE,"1",3,"grey60",1.5,1,0
"241","#CCCCCC","dotted",10,0.371296647647589,0.305460675100214,0.437132620194964,0.0200541825586322,FALSE,"1",4,"grey60",1.5,1,0
"242","#CCCCCC","dotted",12.4050632911392,0.395576791018916,0.337812825021092,0.45334075701674,0.0175953825030442,FALSE,"1",4,"grey60",1.5,1,0
"243","#CCCCCC","dotted",14.8101265822785,0.418671932453752,0.367069614388015,0.470274250519489,0.0157184935058752,FALSE,"1",4,"grey60",1.5,1,0
"244","#CCCCCC","dotted",17.2151898734177,0.440592925421963,0.39314015941337,0.488045691430557,0.014454505578445,FALSE,"1",4,"grey60",1.5,1,0
"245","#CCCCCC","dotted",19.620253164557,0.461350623393415,0.416096072401267,0.506605174385563,0.013784911076576,FALSE,"1",4,"grey60",1.5,1,0
"246","#CCCCCC","dotted",22.0253164556962,0.480870512075657,0.43616259831102,0.525578425840294,0.0136184008492688,FALSE,"1",4,"grey60",1.5,1,0
"247","#CCCCCC","dotted",24.4303797468354,0.499049097380798,0.453717449826854,0.544380744934742,0.0138083953278915,FALSE,"1",4,"grey60",1.5,1,0
"248","#CCCCCC","dotted",26.8354430379747,0.515961225763855,0.469269876588921,0.562652574938789,0.0142225717040811,FALSE,"1",4,"grey60",1.5,1,0
"249","#CCCCCC","dotted",29.2405063291139,0.531685024420954,0.483248152698591,0.580121896143318,0.014754272330227,FALSE,"1",4,"grey60",1.5,1,0
"250","#CCCCCC","dotted",31.6455696202532,0.546298620548225,0.495989528600773,0.596607712495677,0.0153245661184274,FALSE,"1",4,"grey60",1.5,1,0
"251","#CCCCCC","dotted",34.0506329113924,0.559880141341795,0.507757193574478,0.612003089109111,0.0158770816253627,FALSE,"1",4,"grey60",1.5,1,0
"252","#CCCCCC","dotted",36.4556962025316,0.572507713997792,0.518761530424781,0.626253897570802,0.0163715326970723,FALSE,"1",4,"grey60",1.5,1,0
"253","#CCCCCC","dotted",38.8607594936709,0.584259465712344,0.529176432517983,0.639342498906706,0.0167787481648885,FALSE,"1",4,"grey60",1.5,1,0
